"sexo";"edad";"peso";"talla"
"varon";12,75;32;144,9
"varon";12,83;39;148,7
"hembra";12,83;52;163,5
"hembra";12,83;48;149,8
"hembra";12,83;52,5;168
"varon";12,83;37;144
"hembra";12,83;44,5;161
"hembra";12,83;48,5;162
"hembra";12,83;55;154,5
"varon";12,83;47,5;162,8
"varon";12,83;35;152,7
"varon";12,83;54;155,8
"varon";12,83;45;157,7
"varon";12,83;31;137,4
"varon";12,83;50;155,8
"hembra";12,83;43,5;163,4
"varon";12,83;53,5;164
"varon";12,83;26,5;137,8
"varon";12,92;45;146,5
"varon";12,92;43,5;150,6
"hembra";12,92;53,5;155,7
"hembra";12,92;50;163,5
"hembra";12,92;53;152,2
"varon";12,92;51,5;163,5
"hembra";12,92;50;159,9
"varon";12,92;62;149,9
"hembra";12,92;51;159
"varon";12,92;37;144,8
"hembra";12,92;48,5;148,4
"varon";12,92;51;152,9
"varon";12,92;35;148,7
"varon";12,92;50;156
"hembra";12,92;56;159,2
"hembra";12,92;54;158
"varon";12,92;32,5;142,3
"hembra";12,92;41,5;146,7
"hembra";12,92;48;163
"varon";12,92;39;158
"hembra";12,92;47;156,5
"hembra";12,92;48;154,9
"varon";12,92;38,5;146
"hembra";12,92;61;165,3
"varon";12,92;41;149,7
"varon";13;43,5;164
"hembra";13;41;145
"hembra";13;46;154,8
"varon";13;32,5;144,4
"hembra";13;37,5;149
"hembra";13;45;158
"varon";13;50;163,8
"hembra";13;55;159,4
"hembra";13;45;161
"hembra";13;35;150
"varon";13;61;148,6
"varon";13,08;35;149,4
"hembra";13,08;53;163
"hembra";13,08;48;150,4
"hembra";13,08;43;149
"varon";13,08;35;143
"varon";13,08;44;153,1
"hembra";13,08;43,5;146,7
"hembra";13,08;56;166,9
"hembra";13,08;53;157,1
"hembra";13,08;51;150,1
"hembra";13,08;55;152,3
"hembra";13,08;57,5;158
"hembra";13,08;72;157,5
"varon";13,08;53,5;172,2
"varon";13,08;44,5;161,2
"hembra";13,17;57,5;164,3
"varon";13,17;61;175,3
"hembra";13,17;44;158,2
"hembra";13,17;45,5;146
"hembra";13,17;41;151,2
"varon";13,17;41;158,5
"varon";13,17;38;142,6
"varon";13,17;60;162
"varon";13,17;41;151
"varon";13,17;32;147,6
"hembra";13,17;54;153,4
"hembra";13,17;35,5;150,7
"varon";13,25;61,5;168,9
"hembra";13,25;49;155,4
"hembra";13,25;42;156
"hembra";13,25;36,5;152,5
"varon";13,25;48;155,8
"varon";13,25;40;151,7
"varon";13,25;55;146,6
"hembra";13,25;38,5;156,5
"varon";13,25;48;159,9
"varon";13,25;34,5;152,2
"varon";13,25;28;141,5
"varon";13,33;44;150,3
"varon";13,33;44,5;153,1
"hembra";13,33;68;155
"hembra";13,33;43,5;158,7
"hembra";13,33;54,5;171
"hembra";13,33;42;156
"varon";13,33;42;146,2
"hembra";13,33;48;162,6
"varon";13,33;73;165,9
"hembra";13,33;49;149,8
"varon";13,33;41,5;154,6
"varon";13,42;51;155,2
"varon";13,42;44;143,8
"varon";13,42;60;167
"hembra";13,42;53,5;154,8
"hembra";13,42;55,5;160,5
"hembra";13,42;51;159,4
"varon";13,42;46,5;155,9
"hembra";13,42;48;153,1
"varon";13,42;57,5;162,6
"varon";13,42;55;162,2
"varon";13,42;77,5;156,4
"hembra";13,42;37;148,9
"varon";13,42;46;155,1
"hembra";13,42;54;160,3
"varon";13,42;55;163,7
"varon";13,42;41;154,4
"hembra";13,42;38,5;150,9
"hembra";13,42;50,5;157,2
"varon";13,42;50;157,5
"hembra";13,42;37,5;149,8
"hembra";13,42;56;162,6
"varon";13,42;76;159
"hembra";13,42;60;155,7
"varon";13,5;44;153,7
"hembra";13,5;55,5;157,5
"varon";13,5;65;159,1
"hembra";13,5;48;164
"hembra";13,5;51;152,5
"hembra";13,5;50;155,5
"varon";13,5;46,5;151,4
"varon";13,5;43,5;155
"varon";13,5;52;166,1
"varon";13,5;54;164,4
"hembra";13,5;40,5;151,2
"varon";13,5;45,5;159,4
"hembra";13,58;45,5;162,8
"hembra";13,58;38;147
"varon";13,58;50;159,4
"hembra";13,58;59,5;157,5
"hembra";13,58;57,5;158,5
"hembra";13,58;38,5;144
"varon";13,58;45;163,1
"varon";13,58;45;153,7
"varon";13,58;29;137,7
"hembra";13,58;71;155,2
"hembra";13,58;59;164,6
"varon";13,67;39;149,4
"varon";13,67;49;164,2
"varon";13,67;38;149,8
"varon";13,67;38;149,7
"varon";13,67;50;153,8
"varon";13,67;46;160,5
"hembra";13,67;44;152,8
"varon";13,67;33,5;151,8
"varon";13,67;47;164,3
"varon";13,67;59,5;163,3
"varon";13,67;65;174,9
"hembra";13,67;48;168,5
"hembra";13,67;37,5;158,5
"hembra";13,67;39;153,8
"varon";13,67;73,5;169,8
"hembra";13,67;62,5;158
"hembra";13,67;61,5;158,1
"hembra";13,67;45;152,5
"varon";13,67;47;146
"varon";13,75;43;154,2
"hembra";13,75;58;162,5
"varon";13,75;56,5;167,5
"hembra";13,75;44;152,7
"hembra";13,75;43;159,2
"hembra";13,75;51,5;162,8
"varon";13,75;57,5;157,7
"hembra";13,75;60;150,4
"hembra";13,75;45,5;157,7
"hembra";13,75;51;160,2
"hembra";13,75;56;157,8
"hembra";13,75;38,5;157
"varon";13,75;37,5;147
"varon";13,75;48;164,1
"hembra";13,75;62;171,7
"hembra";13,75;53;159
"varon";13,75;40;140
"varon";13,75;46,5;151,2
"hembra";13,75;47;162,5
"varon";13,75;44;152,2
"hembra";13,75;25;137
"hembra";13,83;53,5;154,5
"varon";13,83;43;156,9
"varon";13,83;42;156,2
"varon";13,83;37,5;145,5
"varon";13,83;57;169,5
"hembra";13,83;43,5;153
"hembra";13,83;37,5;162,5
"varon";13,83;53,5;159,5
"varon";13,83;63,5;171
"hembra";13,83;82;163
"varon";13,83;70;170,9
"hembra";13,83;56;163,1
"hembra";13,83;43;151,3
"hembra";13,92;48;159,2
"hembra";13,92;47;154,5
"varon";13,92;48;163
"hembra";13,92;50;161,2
"hembra";13,92;33;146,6
"varon";13,92;67;170,6
"varon";13,92;67,5;164,6
"varon";13,92;48,5;160,6
"hembra";13,92;40;152,2
"varon";13,92;52;166,7
"hembra";13,92;45,5;150,6
"varon";13,92;63,5;175
"hembra";13,92;45;163,7
"varon";13,92;45;158,2
"varon";13,92;72;173
"varon";13,92;36,5;144
"varon";14;58,5;167,9
"varon";14;43,5;158
"varon";14;69;172,5
"hembra";14;52,5;172,6
"hembra";14;53,5;152,5
"varon";14;54,5;168,1
"varon";14;50;155,6
"hembra";14;59,5;165,6
"varon";14;87;173,5
"varon";14;53,5;165,3
"hembra";14;39,5;146,2
"varon";14;36;139,9
"varon";14;87;178,7
"varon";14;64;169
"hembra";14;45;156,6
"varon";14;40,5;152,5
"varon";14;78;177,9
"hembra";14;40,5;143
"hembra";14;44;167,3
"varon";14;53,5;171,8
"hembra";14;53,5;149,9
"varon";14;43,5;155,1
"varon";14,08;43,5;155,7
"hembra";14,08;58;166,9
"varon";14,08;54;170,5
"hembra";14,08;45,5;162,2
"varon";14,08;46,5;159,8
"hembra";14,08;43,5;158,4
"varon";14,08;49,5;157,1
"varon";14,08;48,5;170,7
"varon";14,08;74;165,2
"varon";14,08;50,5;158,6
"hembra";14,08;48;151,5
"hembra";14,08;47;151,9
"varon";14,08;40,5;146,9
"varon";14,08;60;166,8
"varon";14,08;44;161,8
"hembra";14,08;65;149,5
"varon";14,08;40,5;161,2
"varon";14,08;56,5;171,4
"varon";14,17;52,5;162,8
"varon";14,17;37;155,2
"varon";14,17;41,5;153
"varon";14,17;47;153,7
"varon";14,17;55,5;170,8
"hembra";14,17;43;154,7
"varon";14,17;74,5;175,1
"hembra";14,17;54;159,6
"varon";14,17;35,5;147,8
"varon";14,17;50;161,1
"varon";14,17;48;163,7
"hembra";14,17;53;162
"hembra";14,17;51,5;157,6
"varon";14,17;58;168,4
"hembra";14,17;53;161,9
"varon";14,17;47;160,5
"hembra";14,17;49;155,8
"varon";14,25;42;152,6
"varon";14,25;55;156
"varon";14,25;47;154,7
"hembra";14,25;43,5;149,5
"varon";14,25;50,5;164,3
"hembra";14,25;49;154,5
"varon";14,25;53;169,8
"varon";14,25;44;157,5
"hembra";14,25;53,5;161,5
"varon";14,25;66,5;174,4
"hembra";14,25;44;152,8
"hembra";14,25;56;168
"hembra";14,25;58;154
"varon";14,25;61,5;165,4
"varon";14,25;55;165
"varon";14,25;56;168,7
"hembra";14,25;49,5;150,4
"varon";14,25;47;156,4
"hembra";14,25;48,5;159,8
"varon";14,25;45;156,4
"hembra";14,33;60;164,1
"varon";14,33;48,5;163,1
"varon";14,33;69,5;171,5
"hembra";14,33;57;156,2
"varon";14,33;47,5;160,3
"hembra";14,33;65,5;161,6
"varon";14,33;57;164,5
"varon";14,33;50;159,7
"varon";14,33;52,5;156,5
"varon";14,33;64,5;174,6
"varon";14,33;42,5;162
"varon";14,33;39;155,5
"hembra";14,33;51,5;160,1
"hembra";14,33;54;156,6
"varon";14,33;42;155,5
"varon";14,33;58;177,7
"varon";14,33;48,5;164,2
"varon";14,42;71;169,3
"hembra";14,42;50,5;155,8
"varon";14,42;51;166,6
"varon";14,42;60;169,8
"hembra";14,42;50;154,6
"varon";14,42;61;163
"hembra";14,42;45;151,5
"varon";14,42;63;176,9
"hembra";14,42;49;158,7
"varon";14,42;58;165,9
"hembra";14,42;57;154,4
"varon";14,42;45;148,6
"hembra";14,42;61;168,4
"varon";14,42;54;175
"hembra";14,42;59,5;161,8
"varon";14,42;60;168,1
"hembra";14,42;49;157,2
"varon";14,42;67;173,7
"hembra";14,42;58;157,7
"varon";14,42;44,5;154
"hembra";14,42;43,5;156,2
"hembra";14,42;50;158,1
"varon";14,5;52;173,5
"hembra";14,5;47,5;165,9
"varon";14,5;69;177,8
"varon";14,5;60;162
"hembra";14,5;48,5;154,5
"varon";14,5;66;166,7
"hembra";14,5;58;149,8
"varon";14,5;55;155
"varon";14,5;64;174,5
"hembra";14,5;61;168
"hembra";14,5;47;153,5
"hembra";14,5;59;153,6
"hembra";14,5;45,5;164,4
"hembra";14,5;63,5;162
"varon";14,5;75;177,1
"hembra";14,5;52,5;157,4
"varon";14,5;56;168,7
"hembra";14,5;60;174
"varon";14,5;55;168,8
"varon";14,5;46;158,5
"varon";14,5;53;171
"hembra";14,5;50;158,3
"hembra";14,5;53;169,5
"varon";14,58;45;171,8
"hembra";14,58;52;153
"varon";14,58;50;159,4
"varon";14,58;69;169,7
"hembra";14,58;56,5;156,1
"hembra";14,58;56;159,5
"varon";14,58;58,5;163,7
"varon";14,58;54,5;171,3
"varon";14,58;59;168,5
"hembra";14,58;59,5;162,5
"hembra";14,58;52,5;151,9
"varon";14,58;56;165,3
"hembra";14,58;46,5;156,1
"varon";14,58;40;158,2
"hembra";14,58;57,5;156,9
"hembra";14,58;56;161,1
"hembra";14,58;48;153,8
"hembra";14,58;48,5;160,5
"hembra";14,58;59;153,3
"varon";14,58;42;158,5
"varon";14,58;53;162,2
"hembra";14,58;44,5;161,1
"varon";14,58;50;167,7
"varon";14,58;53,5;174,5
"varon";14,58;84;169,9
"varon";14,58;47;165,5
"varon";14,58;43,5;159
"hembra";14,58;68;161,3
"hembra";14,67;51;163,1
"hembra";14,67;56,5;158,7
"varon";14,67;45;162,9
"hembra";14,67;53,5;157,8
"varon";14,67;66;165
"varon";14,67;64;177,1
"varon";14,67;55;161,8
"varon";14,67;59;166,3
"varon";14,67;68,5;171,5
"hembra";14,67;40;158,6
"varon";14,67;53,5;166,4
"hembra";14,67;49;161,7
"hembra";14,67;51,5;158,3
"hembra";14,67;54;165,4
"varon";14,67;35;150,3
"varon";14,67;59;168,8
"hembra";14,67;68;162,6
"hembra";14,67;53,5;156,1
"hembra";14,67;71;164,6
"varon";14,67;54,5;166,5
"hembra";14,67;47,5;157,7
"varon";14,67;66;165
"varon";14,67;78;168,8
"hembra";14,67;48,5;156,3
"hembra";14,75;59;155,5
"hembra";14,75;51,5;160,4
"hembra";14,75;74,5;165,8
"varon";14,75;77;169,8
"hembra";14,75;47;162
"hembra";14,75;46;160,6
"hembra";14,75;44,5;151,4
"hembra";14,75;54,5;156
"hembra";14,75;49;151,9
"hembra";14,75;64;158
"varon";14,75;70;180,9
"varon";14,75;69;169,9
"hembra";14,75;53,5;161,8
"hembra";14,75;37,5;151,3
"hembra";14,75;55;162,8
"hembra";14,75;42;157,5
"varon";14,75;49;159,6
"hembra";14,75;54;168,5
"varon";14,75;51,5;164,9
"hembra";14,75;54;160,9
"hembra";14,75;49,5;156,5
"varon";14,75;63,5;176,9
"hembra";14,75;42;156,5
"varon";14,75;50;161,5
"hembra";14,75;45;162,4
"hembra";14,83;56,5;155,4
"varon";14,83;57,5;172
"hembra";14,83;48;153,5
"varon";14,83;39,5;157,1
"hembra";14,83;50;162,9
"varon";14,83;55,5;166,8
"hembra";14,83;53,5;156,5
"varon";14,83;54;159,7
"hembra";14,83;53;168,8
"hembra";14,83;50;164
"hembra";14,83;53,5;147,8
"varon";14,83;48,5;156,5
"varon";14,83;50;166,8
"hembra";14,83;50,5;153,8
"hembra";14,83;57,5;158,7
"varon";14,83;49,5;158
"varon";14,83;65;168,8
"varon";14,83;55;166,2
"varon";14,83;40;159,2
"varon";14,83;54;167,7
"varon";14,83;57;167,4
"hembra";14,83;61;156,5
"varon";14,83;55;174,6
"hembra";14,83;60;164,6
"hembra";14,83;49,5;160,4
"hembra";14,83;59;161,4
"varon";14,83;71;177,1
"varon";14,83;60;163,3
"varon";14,83;52;161,8
"varon";14,83;68;172,5
"hembra";14,83;57;163,5
"hembra";14,83;57,5;162,9
"varon";14,92;59;180,1
"hembra";14,92;61;163,5
"hembra";14,92;53;163,1
"hembra";14,92;47;152
"varon";14,92;66;179,2
"hembra";14,92;62;161
"hembra";14,92;53;161,3
"hembra";14,92;70,5;163,2
"varon";14,92;57;168,8
"varon";14,92;57,5;166,8
"varon";14,92;64,5;171,8
"hembra";14,92;65,5;160
"varon";14,92;56,5;159
"varon";14,92;60;162,7
"varon";14,92;62;158,6
"varon";14,92;68;169,2
"varon";14,92;63;173
"varon";14,92;55;161,9
"hembra";14,92;44,5;153,5
"varon";14,92;61,5;180,1
"hembra";14,92;55;153,5
"hembra";14,92;45;151
"varon";14,92;58;171,3
"varon";14,92;72;177,3
"varon";14,92;61,5;168,5
"hembra";14,92;51;156,3
"varon";14,92;70;175,8
"hembra";14,92;54,5;154,3
"varon";14,92;71;176,8
"hembra";14,92;51,5;157,3
"varon";14,92;71,5;172
"varon";15;53;167,8
"hembra";15;46;154,6
"varon";15;49,5;162,9
"hembra";15;55,5;165,5
"varon";15;55,5;169,4
"varon";15;53;164,6
"hembra";15;59;163
"varon";15;54;157,1
"hembra";15;50,5;162,2
"varon";15;51;149,4
"varon";15;53;168
"hembra";15;53,5;159,9
"hembra";15;50,5;161,5
"varon";15;57,5;164,3
"varon";15;55;166,9
"varon";15;54;166,6
"varon";15;59,5;164,5
"varon";15;59;169
"hembra";15;52;152,8
"hembra";15;53;156
"hembra";15;51,5;157,1
"hembra";15;51;156,4
"hembra";15;57,5;170,4
"varon";15;64;173,8
"varon";15;56,5;165,5
"varon";15;63,5;176,3
"hembra";15;67,5;161
"varon";15;65,5;172,8
"varon";15;61,5;178,9
"hembra";15;54;155,4
"varon";15;63;167
"hembra";15;52,5;160,6
"hembra";15;44;153
"varon";15,08;71;171,9
"hembra";15,08;56;160,6
"varon";15,08;64;171,6
"hembra";15,08;47,5;160,7
"varon";15,08;58;163,8
"varon";15,08;54;169,7
"hembra";15,08;54;164,5
"varon";15,08;60,5;167,5
"varon";15,08;51;165,4
"varon";15,08;56,5;170,4
"varon";15,08;65;176,9
"hembra";15,08;56,5;163,2
"hembra";15,08;63,5;167,5
"varon";15,08;74,5;170,5
"hembra";15,08;50,5;158,7
"hembra";15,08;58;162
"hembra";15,08;58,5;154,9
"varon";15,08;52,5;161,1
"varon";15,08;72;172,8
"hembra";15,08;61;168,4
"hembra";15,08;59,5;156
"hembra";15,08;60;171,7
"varon";15,08;51;158,8
"hembra";15,08;37,5;149,9
"hembra";15,08;48,5;155,4
"hembra";15,08;58;164,5
"hembra";15,08;68,5;163,3
"varon";15,08;56;153,5
"varon";15,08;39;149,2
"hembra";15,08;53;167,2
"varon";15,08;55;164,9
"hembra";15,08;52,5;161
"hembra";15,08;59,5;165
"hembra";15,08;53;165,5
"varon";15,08;69;177,3
"varon";15,08;55;168,1
"varon";15,08;58,5;170,6
"hembra";15,08;53,5;161,7
"hembra";15,17;61;162,7
"hembra";15,17;56;157
"varon";15,17;50;170,7
"hembra";15,17;48,5;161,8
"hembra";15,17;55;159
"hembra";15,17;67;168,1
"hembra";15,17;47;149,6
"hembra";15,17;57;158,8
"varon";15,17;48;157,4
"varon";15,17;50;166,8
"varon";15,17;41;156,8
"hembra";15,17;50;163,1
"varon";15,17;61;171
"varon";15,17;63;158,1
"hembra";15,17;47;156,7
"varon";15,17;55;170
"varon";15,17;46;159,4
"hembra";15,17;45,5;154,3
"hembra";15,17;51;159,1
"varon";15,17;53,5;163
"varon";15,17;65;172,1
"varon";15,17;63,5;165,3
"varon";15,17;77;165,9
"varon";15,17;62,5;168
"hembra";15,17;54;159,4
"hembra";15,17;54;155,6
"hembra";15,17;57;162,5
"varon";15,17;55;158,5
"hembra";15,17;52,5;158,5
"varon";15,25;56;166
"hembra";15,25;51;157,3
"varon";15,25;67;172,5
"varon";15,25;57,5;167,7
"hembra";15,25;61;155
"hembra";15,25;50;155,5
"varon";15,25;80;170
"varon";15,25;58,5;168,5
"varon";15,25;75;167,8
"hembra";15,25;55;163,2
"varon";15,25;52;168
"hembra";15,25;52,5;154
"varon";15,25;62,5;172,2
"varon";15,25;69,5;176
"varon";15,25;63;161,2
"hembra";15,25;46;157,1
"varon";15,25;51;147,5
"varon";15,25;48,5;162,5
"hembra";15,25;45,5;160,7
"varon";15,25;51,5;161,5
"varon";15,25;40;151,4
"hembra";15,25;45;148,5
"hembra";15,25;51,5;169,2
"varon";15,25;60;165,1
"varon";15,25;45,5;159,5
"hembra";15,25;61;161,7
"hembra";15,25;53;154,5
"hembra";15,25;45;158,9
"varon";15,25;60;175,1
"varon";15,25;53,5;164,5
"varon";15,25;67;169,5
"varon";15,25;58;151,8
"hembra";15,25;45;151,6
"hembra";15,33;52;159,2
"hembra";15,33;80;179,5
"varon";15,33;60;170,7
"varon";15,33;44;155,1
"varon";15,33;62,5;165,6
"hembra";15,33;54,5;162,6
"varon";15,33;60;167,9
"hembra";15,33;48;161,6
"varon";15,33;58,5;167
"varon";15,33;54;162,5
"hembra";15,33;55;155,1
"varon";15,33;47,5;158,2
"varon";15,33;55;167,7
"hembra";15,33;49;157,2
"hembra";15,33;42;158,2
"varon";15,33;61,5;173,4
"hembra";15,33;59;163,4
"hembra";15,33;57;159,5
"varon";15,33;57,5;171,1
"hembra";15,33;52;167,3
"hembra";15,33;54;160,5
"varon";15,33;50,5;170,6
"hembra";15,33;58;159,1
"varon";15,33;63,5;181,2
"varon";15,33;57,5;175,6
"varon";15,33;53;167
"varon";15,42;58;173,5
"hembra";15,42;50,5;161,7
"hembra";15,42;57;156,1
"varon";15,42;53;164,9
"hembra";15,42;60;169,4
"hembra";15,42;68;173,2
"varon";15,42;70;176,5
"varon";15,42;56;176,5
"varon";15,42;59,5;174,3
"varon";15,42;69,5;171,5
"varon";15,42;70;175,7
"varon";15,42;66;173,5
"varon";15,42;56;168,4
"hembra";15,42;50,5;156,2
"varon";15,42;51;165,6
"varon";15,42;69;164,5
"hembra";15,42;51;156
"varon";15,42;70,5;177
"hembra";15,42;64;166,7
"hembra";15,42;49,5;154,2
"varon";15,42;51;171,2
"varon";15,5;61;168,2
"hembra";15,5;48,5;154,6
"varon";15,5;55;173,3
"hembra";15,5;51;156,5
"varon";15,5;47;158,1
"hembra";15,5;48,5;160
"varon";15,5;70;176,4
"varon";15,5;55;170,8
"hembra";15,5;54;158,3
"varon";15,5;75,5;179,2
"hembra";15,5;53,5;159,5
"hembra";15,5;59,5;160,7
"hembra";15,5;50,5;157
"varon";15,5;62,5;163,4
"varon";15,5;65;177,6
"varon";15,5;73;180,1
"hembra";15,5;48,5;164,6
"hembra";15,5;66,5;173
"varon";15,5;53,5;161,6
"varon";15,5;67;179
"hembra";15,5;52;166
"hembra";15,5;47;154,4
"varon";15,5;63,5;179,2
"varon";15,5;66;177,4
"hembra";15,5;56;164,6
"varon";15,5;58;168,9
"hembra";15,5;51,5;159,4
"hembra";15,58;51;160,6
"hembra";15,58;62,5;159,7
"varon";15,58;48,5;166,7
"hembra";15,58;57;160,7
"hembra";15,58;50;159,5
"varon";15,58;44,5;162,7
"hembra";15,58;51,5;160,3
"varon";15,58;59;165,3
"varon";15,58;79;170,2
"hembra";15,58;62;161
"hembra";15,58;64;159,5
"hembra";15,58;60;153,5
"hembra";15,58;57,5;158,8
"varon";15,58;64,5;176
"varon";15,58;54,5;168,2
"varon";15,58;58;152
"varon";15,58;56;175,6
"hembra";15,58;55;165,5
"hembra";15,58;48;150,3
"varon";15,58;78,5;180,1
"varon";15,58;63,5;181,9
"hembra";15,58;59;159,3
"varon";15,58;51,5;170,2
"hembra";15,58;44;159,3
"hembra";15,58;60,5;160,7
"hembra";15,58;52;160,3
"hembra";15,58;46;147,7
"varon";15,58;60;162,6
"varon";15,58;55;167,1
"varon";15,58;60,5;178,9
"hembra";15,58;64;167,8
"hembra";15,67;58;161,4
"varon";15,67;74;178,2
"varon";15,67;71;177,7
"varon";15,67;61;161,5
"hembra";15,67;45,5;156
"varon";15,67;64,5;184,7
"hembra";15,67;47,5;154,7
"varon";15,67;49;166,3
"varon";15,67;58;166,8
"varon";15,67;53,5;170,1
"hembra";15,67;43,5;155,2
"hembra";15,67;51;153,9
"hembra";15,67;56;161,5
"hembra";15,67;47;159,6
"varon";15,67;43,5;155,5
"varon";15,75;71;164,7
"hembra";15,75;62,5;163,5
"hembra";15,75;56;160,6
"varon";15,75;64,5;166
"varon";15,75;58;176,4
"hembra";15,75;51;156,5
"hembra";15,75;68;165,5
"varon";15,75;74,5;178,1
"hembra";15,75;58,5;158,9
"varon";15,75;64;168,2
"varon";15,75;76,5;170,7
"varon";15,75;68;175,5
"varon";15,75;65,5;175,1
"hembra";15,75;54,5;164,8
"varon";15,75;57;182,7
"hembra";15,75;57;163,8
"varon";15,75;73,5;182,1
"varon";15,75;65;174,4
"hembra";15,75;51;154,3
"varon";15,75;55;175,7
"hembra";15,75;53;157,1
"varon";15,75;62;171
"hembra";15,75;62,5;172
"hembra";15,75;59;159,9
"hembra";15,75;50;157,9
"varon";15,75;60;173
"varon";15,75;71;177,5
"hembra";15,75;55,5;158,2
"varon";15,75;50;166,9
"hembra";15,75;50,5;149,8
"varon";15,83;63;174,7
"varon";15,83;55;163,1
"hembra";15,83;67;178,3
"hembra";15,83;49;160,3
"varon";15,83;63;178,8
"varon";15,83;74,5;187,4
"varon";15,83;51,5;172,2
"varon";15,83;55,5;169,3
"hembra";15,83;56;160
"hembra";15,83;64;161,2
"hembra";15,83;48,5;151,8
"hembra";15,83;38;151,6
"hembra";15,83;47,5;157,9
"varon";15,83;63,5;155,8
"hembra";15,83;52;162,9
"varon";15,83;68;172,7
"hembra";15,83;66,6;157,2
"hembra";15,83;52;152,9
"hembra";15,83;45,5;155,6
"varon";15,83;86;180,4
"varon";15,83;69,5;178
"varon";15,83;55;160,4
"hembra";15,83;59;168
"varon";15,83;65;176,4
"varon";15,83;50;158,5
"varon";15,83;61;177,4
"varon";15,83;58;178
"hembra";15,83;51,5;154,2
"hembra";15,92;54,5;162,2
"varon";15,92;61,5;177,5
"varon";15,92;78;171,2
"hembra";15,92;55;160,7
"hembra";15,92;56,5;164,6
"hembra";15,92;60;174,5
"hembra";15,92;61,5;163,1
"varon";15,92;51;161,4
"hembra";15,92;61;161,1
"hembra";15,92;55;166,6
"varon";15,92;74,5;183,1
"hembra";15,92;54,5;152,2
"hembra";15,92;48;160,9
"varon";15,92;55,5;169,8
"varon";15,92;72;188,8
"varon";15,92;76;176
"hembra";15,92;70;177,4
"varon";15,92;50,5;164,7
"varon";15,92;63;169,6
"hembra";15,92;53,5;156
"hembra";15,92;58;156,6
"varon";15,92;67,5;184,3
"varon";15,92;67,5;171,4
"varon";15,92;66;179,8
"varon";16;72;164,1
"hembra";16;52;158,7
"hembra";16;43,5;151,6
"hembra";16;52;164,4
"varon";16;50,5;168,2
"varon";16;63;164,5
"hembra";16;61;163,3
"varon";16;74;177,2
"hembra";16;55,5;166,3
"hembra";16;46,5;157,5
"varon";16;63,5;169,7
"hembra";16;64;169,8
"varon";16;41;149,5
"hembra";16;45,5;162
"varon";16;55,5;177,9
"hembra";16;50,9;155,4
"varon";16;70;173,3
"varon";16,08;59,5;172,3
"hembra";16,08;55;154,4
"varon";16,08;56;172,8
"hembra";16,08;43;151,1
"hembra";16,08;48;151,4
"hembra";16,08;50;165,7
"varon";16,08;74,5;183
"hembra";16,08;49;152,4
"varon";16,08;52,5;162,8
"hembra";16,08;51;163,5
"varon";16,08;69;171,5
"varon";16,08;68;177,4
"hembra";16,08;57,5;173,1
"varon";16,08;63,3;181,8
"hembra";16,08;46,5;155,2
"hembra";16,08;61,5;167
"hembra";16,08;51,5;162,2
"varon";16,08;72;172,5
"varon";16,08;60;165,4
"varon";16,08;52;169,5
"hembra";16,08;64,5;162,2
"hembra";16,08;56;164,6
"hembra";16,08;51,5;163,8
"varon";16,08;62;178
"varon";16,08;71,5;186,8
"hembra";16,08;43;154,6
"varon";16,08;60,5;171,2
"hembra";16,08;60;148,7
"varon";16,08;58;171,6
"hembra";16,08;47;157,9
"varon";16,08;60;170,4
"varon";16,08;61,5;172,1
"hembra";16,08;62;163,4
"varon";16,08;81;179,4
"varon";16,17;66,5;178,2
"hembra";16,17;59;173,4
"hembra";16,17;56;165,5
"varon";16,17;50;157
"varon";16,17;57,5;171
"varon";16,17;57,5;169,2
"varon";16,17;56;175,7
"varon";16,17;53,5;163,5
"hembra";16,17;51;158,6
"varon";16,17;55,5;167,8
"varon";16,17;88;183,9
"varon";16,17;89;173,7
"varon";16,17;50,5;168,4
"varon";16,17;58;159
"varon";16,17;67;167,1
"hembra";16,17;66;163,9
"hembra";16,17;63;158,2
"hembra";16,17;58;156,1
"hembra";16,17;39,5;148,2
"hembra";16,17;41,5;150,6
"varon";16,17;80;170,8
"hembra";16,17;41,5;149
"hembra";16,17;54;156,5
"varon";16,17;65;171,1
"hembra";16,17;51,5;166,2
"varon";16,17;73;179,8
"varon";16,17;76,5;177,5
"varon";16,17;63;181,7
"varon";16,17;69;176,6
"varon";16,17;65;167,9
"hembra";16,17;46,5;148,3
"varon";16,25;57;160,6
"varon";16,25;50;166
"hembra";16,25;57;155,5
"hembra";16,25;50;163,6
"varon";16,25;71;174
"hembra";16,25;51,5;164,7
"hembra";16,25;51;159,4
"varon";16,25;75;176
"hembra";16,25;55;163,7
"varon";16,25;64,5;171,1
"hembra";16,25;59;160,8
"hembra";16,25;51;156,6
"hembra";16,25;49,5;158,7
"varon";16,25;71;173,7
"hembra";16,25;55,5;157,6
"hembra";16,25;48;159,7
"varon";16,25;40,5;169,5
"varon";16,25;62,5;182
"varon";16,25;56;177,7
"varon";16,25;40,5;169,5
"hembra";16,25;43;152,7
"hembra";16,25;41;146,9
"varon";16,33;65;176,3
"hembra";16,33;55,5;162,4
"hembra";16,33;52;161,3
"hembra";16,33;55,5;152,4
"hembra";16,33;56;163,3
"hembra";16,33;47,5;152,3
"varon";16,33;59;170,5
"varon";16,33;61;167,1
"hembra";16,33;46;159,8
"hembra";16,33;65;172,5
"hembra";16,33;50,5;153,5
"varon";16,33;55;170,5
